PRODUCT,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,TotalSales_11Months,AdjustedAnnualSales,Lead Time (Days),COST,Wholesale vs Direct,Winery,Reorder Point,Max Level,Is_Anchor,Is_By_the_Bottle
Wine_SKU_020,19.7,17.5,23.9,29.1,13.5,13.7,12.8,19.2,12.5,26.5,13.3,201.7,219.9,1.0,7.62,Wholesaler,NA,5.0,31.0,0,1
Wine_SKU_021,27.1,29.3,32.0,37.0,25.1,20.8,12.6,35.3,24.9,45.2,26.8,316.1,344.5,2.0,8.01,Direct,NA,11.0,33.0,0,1
Wine_SKU_022,55.3,47.7,55.7,68.5,73.2,41.7,33.3,63.3,55.5,115.1,59.0,668.3,729.3,1.0,9.50,Direct,NA,26.0,168.0,0,1
Wine_SKU_023,64.6,77.1,78.9,75.5,59.6,42.4,30.7,59.4,55.8,111.8,69.0,724.8,790.5,1.0,8.77,Wholesaler,NA,24.0,155.0,0,1
Wine_SKU_024,0.0,0.0,64.5,58.7,7.7,0.0,0.0,0.0,0.0,0.0,0.0,130.9,142.5,3.0,24.06,Direct,Winery_06,2.0,8.0,0,1
Wine_SKU_025,0.9,3.5,4.4,3.5,1.8,3.5,0.9,0.9,0.0,0.9,1.8,21.9,23.6,3.0,21.89,Direct,Winery_06,5.0,16.0,0,1
Wine_SKU_026,44.1,36.9,92.5,74.4,31.7,4.8,4.6,6.4,16.5,6.2,6.2,324.4,353.5,3.0,17.55,Direct,Winery_06,18.0,60.0,0,1
Wine_SKU_027,2.9,1.9,1.0,4.8,5.8,0.0,0.0,1.0,0.0,0.0,0.0,17.3,19.3,4.0,40.43,Direct,Winery_06,2.0,8.0,0,1
Wine_SKU_028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.1,3.1,4.0,21.08,Wholesaler,NA,1.0,7.0,0,0
Wine_SKU_029,0.0,0.0,0.0,0.0,30.6,34.6,0.0,0.0,0.0,0.0,0.0,65.1,71.2,4.0,17.85,Direct,NA,1.0,6.0,0,0
Wine_SKU_030,20.6,25.0,23.7,18.7,17.4,15.8,8.9,15.8,13.6,16.7,24.5,200.7,218.9,1.0,8.10,Wholesaler,NA,10.0,20.0,0,1
Wine_SKU_031,7.0,9.5,4.7,7.7,7.0,4.1,5.9,12.0,13.8,16.0,12.0,99.6,108.7,2.0,10.08,Wholesaler,NA,9.0,23.0,0,1
Wine_SKU_032,0.9,2.6,0.9,1.7,0.0,1.7,0.9,0.9,1.7,0.0,3.4,14.5,16.2,1.0,25.13,Wholesaler,Winery_09,2.0,3.0,0,1
Wine_SKU_033,37.1,33.1,35.4,45.1,35.8,6.1,3.4,13.1,9.9,10.8,19.6,249.5,272.6,2.0,15.42,Direct,Winery_10,17.0,57.0,0,0
Wine_SKU_034,9.6,11.4,13.6,21.1,11.8,5.5,2.4,3.1,14.2,7.1,30.7,130.5,142.3,3.0,15.02,Wholesaler,Winery_08,18.0,59.0,0,0
Wine_SKU_035,9.2,6.7,14.3,28.4,8.4,20.2,4.3,2.7,30.5,5.9,88.3,219.0,239.0,2.0,18.68,Direct,Winery_08,18.0,123.0,0,0
Wine_SKU_036,54.7,51.2,36.5,48.6,36.1,11.7,2.4,10.5,16.0,14.1,26.8,308.5,337.0,2.0,23.12,Wholesaler,Winery_02,22.0,110.0,0,0
Wine_SKU_037,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,2.2,0.0,5.6,5.6,4.0,22.88,Wholesaler,NA,2.0,9.0,0,0
Wine_SKU_038,47.4,60.2,69.5,84.1,46.6,44.8,30.8,46.6,51.1,53.3,93.0,627.4,684.7,1.0,12.52,Wholesaler,Winery_03,36.0,158.0,0,0
Wine_SKU_039,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,25.28,Wholesaler,Winery_11,2.0,4.0,0,1
Wine_SKU_040,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,3.5,3.5,3.0,20.29,Wholesaler,Winery_11,2.0,4.0,0,1
Wine_SKU_041,0.4,0.4,3.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,5.2,3.0,17.65,Direct,NA,2.0,4.0,0,0
Wine_SKU_042,27.2,73.0,24.9,30.4,14.3,4.2,5.1,10.4,8.7,12.4,5.5,216.0,235.6,2.0,16.34,Wholesaler,Winery_12,16.0,138.0,0,0
Wine_SKU_043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.9,0.0,2.8,5.6,6.5,3.0,15.88,Direct,NA,2.0,4.0,0,1
Wine_SKU_044,4.9,2.0,1.0,4.0,1.0,0.0,0.0,1.0,31.8,1.0,1.0,47.6,51.8,3.0,20.74,Direct,Winery_09,2.0,4.0,0,1
Wine_SKU_045,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,1.9,1.9,4.0,16.70,Direct,Winery_13,2.0,7.0,0,0
Wine_SKU_046,3.1,1.0,1.0,3.1,4.1,0.0,0.0,1.0,6.1,2.0,2.0,23.4,25.4,1.0,27.94,Wholesaler,NA,2.0,4.0,0,1
Wine_SKU_047,0.0,0.0,0.0,0.0,0.0,0.8,1.8,4.6,5.7,2.6,3.8,19.2,21.4,1.0,13.57,Direct,NA,4.0,10.0,0,1
Wine_SKU_048,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,10.8,11.8,3.0,26.61,Wholesaler,Winery_05,2.0,8.0,0,0
Wine_SKU_049,0.9,0.0,2.8,1.8,5.5,0.0,0.0,0.0,0.0,1.8,0.0,12.8,13.8,2.0,16.43,Direct,NA,2.0,13.0,0,0
Wine_SKU_050,80.7,88.4,76.8,98.9,80.7,23.1,19.2,15.4,18.3,27.9,14.4,543.7,592.7,4.0,16.79,Wholesaler,NA,17.0,69.0,0,0
Wine_SKU_051,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23.14,Direct,Winery_14,2.0,4.0,0,1
Wine_SKU_052,3.5,1.8,0.9,4.4,1.8,0.0,0.9,3.5,8.8,3.5,2.6,31.7,34.4,1.0,15.12,Direct,Winery_07,4.0,9.0,0,1
Wine_SKU_053,3.3,1.1,0.0,2.2,0.0,0.0,0.0,0.0,2.2,0.0,1.1,9.9,11.0,2.0,59.03,Wholesaler,NA,2.0,9.0,1,0
Wine_SKU_054,0.0,0.0,0.0,0.0,0.2,1.1,1.2,0.9,0.5,2.3,0.4,6.6,7.1,1.0,13.44,Direct,NA,2.0,4.0,0,1
Wine_SKU_055,23.1,19.4,26.7,27.3,13.7,10.2,7.5,9.4,11.2,8.5,31.2,188.1,204.8,1.0,13.50,Direct,NA,12.0,35.0,0,1
Wine_SKU_056,2.0,1.0,2.0,1.0,5.1,0.0,0.0,0.0,2.0,0.0,1.0,14.3,15.3,3.0,53.04,Direct,Winery_16,2.0,4.0,1,1
Wine_SKU_057,13.1,8.0,1.0,2.0,1.0,1.0,1.0,1.0,57.3,15.1,0.0,100.5,109.6,4.0,106.88,Wholesaler,Winery_15,6.0,36.0,0,1
Wine_SKU_058,1.1,4.2,0.0,2.1,0.0,0.0,1.1,1.1,0.0,1.1,0.0,10.6,11.6,2.0,112.36,Wholesaler,Winery_15,2.0,4.0,1,1
